59,000059,FUERZA DE TAREA,08 ENERO 2020,11,1,403,10,25,162,162,0,9,9,
60,000060,FUERZA DE TAREA,08 ENERO 2020,20,1,399,10,39,108,108,0,6,6,
61,000061,FUERZA DE TAREA,08 ENERO 2020,10,1,539,10,44,162,162,0,9,9,
62,000062,FUERZA DE TAREA,08 ENERO 2020,2,1,59,10,40,162,162,0,9,9,
63,000063,FUERZA DE TAREA,08 ENERO 2020,8,1,21,10,44,180,180,0,10,10,
64,000064,FUERZA DE TAREA,08 ENERO 2020,9,1,178,10,41,180,180,0,10,10,
65,000065,FUERZA DE TAREA,08 ENERO 2020,43,1,531,10,25,108,108,0,6,6,
66,000066,FUERZA DE TAREA,08 ENERO 2020,21,1,238,10,45,180,180,0,10,10,
67,000067,FUERZA DE TAREA,08 ENERO 2020,21,1,238,10,40,180,180,0,10,10,
68,000068,FUERZA DE TAREA,08 ENERO 2020,21,1,238,10,42,180,180,0,10,10,
69,000069,FUERZA DE TAREA,08 ENERO 2020,21,1,238,10,44,180,180,0,10,10,
70,000070,FUERZA DE TAREA,08 ENERO 2020,30,1,33,10,42,72,72,0,4,4,
71,000071,FUERZA DE TAREA,08 ENERO 2020,30,1,33,10,39,162,162,0,9,9,
72,000072,FUERZA DE TAREA,08 ENERO 2020,30,1,33,10,39,90,90,0,5,5,
73,000073,FUERZA DE TAREA,08 ENERO 2020,30,1,33,10,45,126,126,0,7,7,
74,000074,FUERZA DE TAREA,08 ENERO 2020,30,1,33,10,44,54,54,0,3,3,
75,000075,FUERZA DE TAREA,08 ENERO 2020,30,1,33,10,40,72,72,0,4,4,
76,000076,FUERZA DE TAREA,08 ENERO 2020,30,1,33,10,44,162,162,0,9,9,
77,000077,FUERZA DE TAREA,08 ENERO 2020,30,1,33,10,41,18,18,0,1,1,
78,000078,FUERZA DE TAREA,08 ENERO 2020,30,1,33,10,42,126,126,0,7,7,SIN NOVEDAD
79,000079,FUERZA DE TAREA,08 ENERO 2020,20,1,256,10,44,90,90,0,5,5,
80,000080,FUERZA DE TAREA,09 ENERO 2020,55,1,540,10,39,36,36,0,2,2,SIN NOVEDAD
81,000081,FUERZA DE TAREA,09 ENERO 2020,55,1,541,10,42,144,144,0,8,8,
82,000082,FUERZA DE TAREA,09 ENERO 2020,31,1,210,10,39,180,180,0,10,10,
83,000083,FUERZA DE TAREA,09 ENERO 2020,31,1,210,10,44,144,144,0,8,8,
84,000084,FUERZA DE TAREA,09 ENERO 2020,31,1,210,10,39,180,180,0,10,10,
85,000085,FUERZA DE TAREA,09 ENERO 2020,31,1,210,10,39,144,144,0,8,8,
86,000086,FUERZA DE TAREA,09 ENERO 2020,31,1,210,10,41,144,144,0,8,8,
87,000087,FUERZA DE TAREA,09 ENERO 2020,55,1,503,10,25,162,162,0,9,9,
88,000088,FUERZA DE TAREA,09 ENERO 2020,55,1,503,10,44,126,126,0,7,7,
89,000089,FUERZA DE TAREA,09 ENERO 2020,55,1,503,10,42,18,18,0,1,1,
90,000090,FUERZA DE TAREA,09 ENERO 2020,14,1,542,10,44,180,180,0,10,10,
91,000091,FUERZA DE TAREA,09 ENERO 2020,14,1,542,10,42,180,180,0,10,10,
92,000092,FUERZA DE TAREA,09 ENERO 2020,14,1,542,10,41,90,90,0,5,5,
93,000093,FUERZA DE TAREA,09 ENERO 2020,10,1,543,10,42,144,144,0,8,8,
94,000094,FUERZA DE TAREA,09 ENERO 2020,13,1,101,10,25,36,36,0,2,2,
95,000095,FUERZA DE TAREA,09 ENERO 2020,13,1,101,10,42,180,180,0,10,10,
96,000096,FUERZA DE TAREA,09 ENERO 2020,15,1,260,10,40,180,180,0,10,10,
97,000097,FUERZA DE TAREA,09 ENERO 2020,15,1,260,10,44,90,90,0,5,5,
98,000098,FUERZA DE TAREA,09 ENERO 2020,30,1,33,10,42,126,126,0,7,7,
99,000099,FUERZA DE TAREA,09 ENERO 2020,30,1,33,10,44,126,126,0,7,7,
100,000100,FUERZA DE TAREA,09 ENERO 2020,30,1,33,10,45,126,126,0,7,7,
101,000101,FUERZA DE TAREA,09 ENERO 2020,30,1,33,10,45,90,90,0,5,5,
102,000102,FUERZA DE TAREA,09 ENERO 2020,30,1,33,10,40,126,126,0,7,7,
103,000103,FUERZA DE TAREA,09 ENERO 2020,11,1,403,10,40,162,162,0,9,9,
104,000104,FUERZA DE TAREA,09 ENERO 2020,2,1,59,10,41,180,180,0,10,10,
105,000105,FUERZA DE TAREA,09 ENERO 2020,9,1,178,10,25,162,162,0,9,9,
106,000106,FUERZA DE TAREA,09 ENERO 2020,8,1,426,10,45,180,180,0,10,10,
107,000107,FUERZA DE TAREA,10 ENERO 2020,31,1,294,10,39,180,180,0,10,10,
108,000108,FUERZA DE TAREA,10 ENERO 2020,31,1,294,10,25,180,180,0,10,10,
109,000109,FUERZA DE TAREA,10 ENERO 2020,31,1,294,10,42,144,144,0,8,8,
110,000110,FUERZA DE TAREA,10 ENERO 2020,31,1,294,10,39,180,180,0,10,10,
111,000111,FUERZA DE TAREA,10 ENERO 2020,31,1,294,10,25,180,180,0,10,10,
112,000112,FUERZA DE TAREA,10 ENERO 2020,15,1,83,10,41,180,180,0,10,10,
113,000113,FUERZA DE TAREA,10 ENERO 2020,15,1,83,10,39,180,180,0,10,10,
114,000114,FUERZA DE TAREA,10 ENERO 2020,15,1,83,10,39,90,90,0,5,5,
115,000115,FUERZA DE TAREA,10 ENERO 2020,13,1,30,10,42,180,180,0,10,10,
116,000116,FUERZA DE TAREA,10 ENERO 2020,13,1,30,10,39,72,72,0,4,4,
117,000117,FUERZA DE TAREA,10 ENERO 2020,10,1,506,10,39,144,144,0,8,8,
118,000118,FUERZA DE TAREA,10 ENERO 2020,31,1,294,10,41,54,54,0,3,3,
119,000119,FUERZA DE TAREA,10 ENERO 2020,2,1,59,10,42,180,180,0,10,10,
120,000120,FUERZA DE TAREA,10 ENERO 2020,20,1,463,10,41,90,90,0,5,5,
121,000121,FUERZA DE TAREA,10 ENERO 2020,14,1,544,10,42,144,144,0,8,8,
122,000122,FUERZA DE TAREA,10 ENERO 2020,14,1,544,10,41,144,144,0,8,8,
123,000123,FUERZA DE TAREA,10 ENERO 2020,14,1,544,10,42,162,162,0,9,9,
124,000124,FUERZA DE TAREA,10 ENERO 2020,14,1,544,10,42,36,36,0,2,2,
125,000125,FUERZA DE TAREA,10 ENERO 2020,8,1,21,10,25,162,162,0,9,9,
126,000126,FUERZA DE TAREA,10 ENERO 2020,9,1,545,10,42,108,108,0,6,6,
127,000127,FUERZA DE TAREA,10 ENERO 2020,11,1,403,10,40,180,180,0,10,10,
128,000128,FUERZA DE TAREA,10 ENERO 2020,30,1,33,10,42,162,162,0,9,9,
129,000129,FUERZA DE TAREA,10 ENERO 2020,30,1,33,10,25,162,162,0,9,9,
130,000130,FUERZA DE TAREA,10 ENERO 2020,30,1,33,10,45,162,162,0,9,9,
131,000131,FUERZA DE TAREA,10 ENERO 2020,30,1,33,10,45,144,144,0,8,8,
132,000132,FUERZA DE TAREA,10 ENERO 2020,30,1,33,10,40,180,180,0,10,10,
133,000133,FUERZA DE TAREA,13 ENERO 2020,56,1,514,10,44,212,212,0,10,10,SE LE MINISTRAN 50 CARTUCHOS AL DIRECTOR DE LA BRIGADA DE  VIGILANCIA ANIMAL
134,000134,FUERZA DE TAREA,13 ENERO 2020,56,1,514,10,25,180,180,0,10,10,
135,000135,FUERZA DE TAREA,13 ENERO 2020,56,1,514,10,44,36,36,0,2,2,
136,000136,FUERZA DE TAREA,13 ENERO 2020,10,1,546,10,42,180,180,0,10,10,
137,000137,FUERZA DE TAREA,13 ENERO 2020,15,1,260,10,25,108,108,0,6,6,
138,000138,FUERZA DE TAREA,13 ENERO 2020,15,1,260,10,44,162,162,0,9,9,
139,000139,FUERZA DE TAREA,13 ENERO 2020,13,1,30,10,25,162,162,0,9,9,
140,000140,FUERZA DE TAREA,13 ENERO 2020,14,1,547,10,44,144,144,0,8,8,
141,000141,FUERZA DE TAREA,13 ENERO 2020,14,1,547,10,42,144,144,0,8,8,
142,000142,FUERZA DE TAREA,13 ENERO 2020,14,1,547,10,25,18,18,0,1,1,
143,000143,FUERZA DE TAREA,13 ENERO 2020,4,1,18,10,25,144,144,0,8,8,
144,000144,FUERZA DE TAREA,13 ENERO 2020,4,1,18,10,44,180,180,0,10,10,
145,000145,FUERZA DE TAREA,13 ENERO 2020,4,1,18,10,25,72,72,0,4,4,
146,000146,FUERZA DE TAREA,13 ENERO 2020,8,1,426,10,42,180,180,0,10,10,
147,000147,FUERZA DE TAREA,13 ENERO 2020,9,1,178,10,42,180,180,0,10,10,
148,000148,FUERZA DE TAREA,13 ENERO 2020,9,1,178,10,25,18,18,0,1,1,
149,000149,FUERZA DE TAREA,13 ENERO 2020,11,1,403,10,42,180,180,0,10,10,
150,000150,FUERZA DE TAREA,13 ENERO 2020,24,1,395,10,44,90,90,0,5,5,
151,000151,FUERZA DE TAREA,13 ENERO 2020,24,1,395,10,42,144,144,0,8,8,
152,000152,FUERZA DE TAREA,13 ENERO 2020,30,1,33,10,40,72,72,0,4,4,
